step,item,status,reinserts,hit_ratio
1,PacketResponder <*> for block blk_<*> terminating,MISS,0,0.000000
2,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.500000
3,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,MISS,0,0.333333
4,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.500000
5,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.600000
6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.666667
7,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.714286
8,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.750000
9,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.777778
10,Received block blk_<*> of size <*> from /<*>,MISS,0,0.700000
11,Received block blk_<*> of size <*> from /<*>,HIT,0,0.727273
12,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,MISS,0,0.666667
13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.692308
14,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.714286
15,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.733333
16,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,MISS,0,0.687500
17,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.705882
18,Received block blk_<*> of size <*> from /<*>,HIT,0,0.722222
19,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.736842
20,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.750000
21,Received block blk_<*> of size <*> from /<*>,HIT,0,0.761905
22,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.772727
23,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.782609
24,Received block blk_<*> of size <*> from /<*>,HIT,0,0.791667
25,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.800000
26,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.807692
27,Received block blk_<*> of size <*> from /<*>,HIT,0,0.814815
28,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.821429
29,Verification succeeded for blk_<*>,MISS,0,0.793103
30,Received block blk_<*> of size <*> from /<*>,HIT,0,0.800000
31,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.806452
32,Received block blk_<*> of size <*> from /<*>,HIT,0,0.812500
33,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.818182
34,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.823529
35,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.828571
36,Received block blk_<*> of size <*> from /<*>,HIT,0,0.833333
37,Received block blk_<*> of size <*> from /<*>,HIT,0,0.837838
38,Received block blk_<*> of size <*> from /<*>,HIT,0,0.842105
39,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.846154
40,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.850000
41,Received block blk_<*> of size <*> from /<*>,HIT,0,0.853659
42,Received block blk_<*> of size <*> from /<*>,HIT,0,0.857143
43,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.860465
44,Received block blk_<*> of size <*> from /<*>,HIT,0,0.863636
45,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.866667
46,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.869565
47,Received block blk_<*> of size <*> from /<*>,HIT,0,0.872340
48,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.875000
49,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.877551
50,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.880000
51,Received block blk_<*> of size <*> from /<*>,HIT,0,0.882353
52,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.884615
53,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.886792
54,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.888889
55,Received block blk_<*> of size <*> from /<*>,HIT,0,0.890909
56,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.892857
57,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.894737
58,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.896552
59,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.898305
60,Received block blk_<*> of size <*> from /<*>,HIT,0,0.900000
61,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.901639
62,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.903226
63,Received block blk_<*> of size <*> from /<*>,HIT,0,0.904762
64,Received block blk_<*> of size <*> from /<*>,HIT,0,0.906250
65,Received block blk_<*> of size <*> from /<*>,HIT,0,0.907692
66,Received block blk_<*> of size <*> from /<*>,HIT,0,0.909091
67,Received block blk_<*> of size <*> from /<*>,HIT,0,0.910448
68,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.911765
69,Received block blk_<*> of size <*> from /<*>,HIT,0,0.913043
70,Verification succeeded for blk_<*>,HIT,0,0.914286
71,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.915493
72,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.916667
73,Deleting block blk_<*> file /<*>/blk_<*>,MISS,0,0.904110
